Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	        570.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0261418996
 1543	        580.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0257584925
 1543	        590.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0253676912
 1543	        600.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0249721980
 1543	        610.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0245745905
 1543	        620.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0241773013
 1543	        630.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0237825993
 1543	        640.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0233925732
 1543	        650.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0230091179
 1543	        660.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0226339234
 1543	        670.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0222684662
 1543	        680.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0219140042
 1543	        690.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0215715750
 1543	        700.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0212419968
 1543	        710.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0209258738
 1543	        720.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0206236043
 1543	        730.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0203353917
 1543	        740.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0200612594
 1543	        750.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0198010668
 1543	        760.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0195545287
 1543	        770.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0193212354
 1543	        780.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0191006734
 1543	        790.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0188922473
 1543	        800.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0186953008
 1543	        810.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0185091367
 1543	        820.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0183330358
 1543	        830.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0181662746
 1543	        840.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0180081399
 1543	        850.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0178579424
 1543	        860.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0177150268
 1543	        870.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0175787807
 1543	        880.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0174486405
 1543	        890.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0173240952
 1543	        900.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0172046888
 1543	        910.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0170900199
 1543	        920.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0169797412
 1543	        930.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0168735561
 1543	        940.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0167712152
 1543	        950.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0166725123
 1543	        960.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0165772789
 1543	        970.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0164853790
 1543	        980.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0163967034
 1543	        990.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0163111645
 1543	       1000.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0162286909
 1543	       1010.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0161492225
 1543	       1020.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0160727055
 1543	       1030.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0159990892
 1543	       1040.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0159283218
 1543	       1050.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0158603478
 1543	       1060.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0157951059
 1543	       1070.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0157325272
 1543	       1080.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0156725340
 1543	       1090.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0156150397
 1543	       1100.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0155599483
 1543	       1110.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0155071554
 1543	       1120.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0154565482
 1543	       1130.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0154080076
 1543	       1140.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0153614088
 1543	       1150.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0153166231
 1543	       1160.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0152735193
 1543	       1170.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0152319658
 1543	       1180.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0151918316
 1543	       1190.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0151529883
 1543	       1200.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0151153114
 1543	       1210.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0150786816
 1543	       1220.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0150429858
 1543	       1230.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0150081184
 1543	       1240.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0149739814
 1543	       1250.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0149404857
 1543	       1260.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0149075508
 1543	       1270.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0148751052
 1543	       1280.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0148430866
 1543	       1290.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0148114413
 1543	       1300.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0147801241
 1543	       1310.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0147490978
 1543	       1320.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0147183327
 1543	       1330.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0146878057
