DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 4
NC 2
NAME "Old Depth-Averaged Velocity"
TIMEUNITS SECONDS
  2.36591065e-01   1.45345075e-02   0.00000000e+00
 -1.53471404e-01   8.78945078e-02   0.00000000e+00
 -1.45255553e-02   3.80328661e-02   0.00000000e+00
  2.58343052e-01  -5.91468563e-03   0.00000000e+00
TS 0  1.25100000e+00
  3.93856908e-01  -1.62749011e-02   0.00000000e+00
  1.48686058e-01   1.51920905e-02   0.00000000e+00
  2.41350565e-01   5.19705796e-02   0.00000000e+00
  3.06563188e-01   1.35945888e-01   0.00000000e+00
TS 0  1.30100000e+00
  5.15060249e-01  -5.72491963e-02   0.00000000e+00
  4.30497555e-01  -6.47873401e-02   0.00000000e+00
  4.29715175e-01   5.62850207e-02   0.00000000e+00
  3.15583376e-01   2.51400935e-01   0.00000000e+00
TS 0  1.35100000e+00
  5.93362588e-01  -1.04335396e-01   0.00000000e+00
  6.65775562e-01  -1.33888326e-01   0.00000000e+00
  5.53024882e-01   5.39112192e-02   0.00000000e+00
  2.93487720e-01   3.31420264e-01   0.00000000e+00
TS 0  1.40100000e+00
  6.26288043e-01  -1.49931195e-01   0.00000000e+00
  8.42010125e-01  -1.81014244e-01   0.00000000e+00
  6.20329418e-01   5.19364858e-02   0.00000000e+00
  2.50460393e-01   3.80016340e-01   0.00000000e+00
TS 0  1.45100000e+00
  6.17452717e-01  -1.85893201e-01   0.00000000e+00
  9.56950497e-01  -2.03685307e-01   0.00000000e+00
  6.42862964e-01   5.49939157e-02   0.00000000e+00
  1.96818901e-01   4.04948409e-01   0.00000000e+00
TS 0  1.50100000e+00
  5.77097009e-01  -2.07471893e-01   0.00000000e+00
  1.00756351e+00  -2.00855038e-01   0.00000000e+00
  6.30544489e-01   6.49030402e-02   0.00000000e+00
  1.41544901e-01   4.13210015e-01   0.00000000e+00
TS 0  1.55100000e+00
  5.17220757e-01  -2.14433360e-01   0.00000000e+00
  9.89532567e-01  -1.73130150e-01   0.00000000e+00
  5.90414539e-01   8.01968985e-02   0.00000000e+00
  9.16211121e-02   4.08990858e-01   0.00000000e+00
TS 0  1.60100000e+00
  4.46325601e-01  -2.09420815e-01   0.00000000e+00
  9.03181313e-01  -1.24680113e-01   0.00000000e+00
  5.25475358e-01   9.71086526e-02   0.00000000e+00
  5.07072801e-02   3.93670414e-01   0.00000000e+00
TS 0  1.65100000e+00
  3.67031520e-01  -1.95624004e-01   0.00000000e+00
  7.58635720e-01  -6.42625493e-02   0.00000000e+00
  4.34816864e-01   1.10935634e-01   0.00000000e+00
  1.87234307e-02   3.65542802e-01   0.00000000e+00
TS 0  1.70100000e+00
  2.76520001e-01  -1.76054453e-01   0.00000000e+00
  5.73967602e-01  -4.37146275e-03   0.00000000e+00
  3.16497148e-01   1.17960734e-01   0.00000000e+00
 -8.15811988e-03   3.20471421e-01   0.00000000e+00
TS 0  1.75100000e+00
  1.68822179e-01  -1.54097207e-01   0.00000000e+00
  3.67929288e-01   4.27027148e-02   0.00000000e+00
  1.73606316e-01   1.14855062e-01   0.00000000e+00
 -3.61000182e-02   2.52766444e-01   0.00000000e+00
TS 0  1.80100000e+00
  3.88298921e-02  -1.34078531e-01   0.00000000e+00
  1.56134887e-01   6.98298412e-02   0.00000000e+00
  1.55007044e-02   9.86242227e-02   0.00000000e+00
 -7.20505154e-02   1.59508227e-01   0.00000000e+00
TS 0  1.85100000e+00
 -1.11606592e-01  -1.21704441e-01   0.00000000e+00
 -5.25100605e-02   7.23864859e-02   0.00000000e+00
 -1.48574252e-01   6.99975115e-02   0.00000000e+00
 -1.22562667e-01   4.58201672e-02   0.00000000e+00
TS 0  1.90100000e+00
 -2.69230216e-01  -1.18128841e-01   0.00000000e+00
 -2.46776947e-01   5.58183618e-02   0.00000000e+00
 -3.09382433e-01   3.11448730e-02   0.00000000e+00
 -1.86055988e-01  -7.81528427e-02   0.00000000e+00
TS 0  1.95100000e+00
 -4.07141182e-01  -1.19371407e-01   0.00000000e+00
 -4.16670537e-01   3.00854320e-02   0.00000000e+00
 -4.62536989e-01  -1.22992328e-02   0.00000000e+00
 -2.51305021e-01  -1.98730055e-01   0.00000000e+00
TS 0  2.00100000e+00
 -4.99671349e-01  -1.18645216e-01   0.00000000e+00
 -5.54801367e-01   6.04475689e-03   0.00000000e+00
 -6.03559575e-01  -5.34010776e-02   0.00000000e+00
 -3.03044815e-01  -3.01557982e-01   0.00000000e+00
TS 0  2.05100000e+00
 -5.35409565e-01  -1.10466602e-01   0.00000000e+00
 -6.55659510e-01  -6.11256990e-03   0.00000000e+00
 -7.24183800e-01  -8.55124492e-02   0.00000000e+00
 -3.28233255e-01  -3.74739365e-01   0.00000000e+00
TS 0  2.10100000e+00
 -5.17293712e-01  -9.26601010e-02   0.00000000e+00
 -7.14959087e-01   1.18796607e-04   0.00000000e+00
 -8.11625636e-01  -1.02664940e-01   0.00000000e+00
 -3.19774209e-01  -4.10904516e-01   0.00000000e+00
TS 0  2.15100000e+00
 -4.54721041e-01  -6.60525352e-02   0.00000000e+00
 -7.29202712e-01   2.52654247e-02   0.00000000e+00
 -8.49978988e-01  -1.00186299e-01   0.00000000e+00
 -2.76678680e-01  -4.07727148e-01   0.00000000e+00
TS 0  2.20100000e+00
 -3.57897360e-01  -3.38355598e-02   0.00000000e+00
 -6.95584482e-01   6.33608291e-02   0.00000000e+00
 -8.23598584e-01  -7.65442928e-02   0.00000000e+00
 -2.03099842e-01  -3.67510655e-01   0.00000000e+00
TS 0  2.25100000e+00
 -2.36282352e-01  -1.17954959e-03   0.00000000e+00
 -6.12243926e-01   1.03174570e-01   0.00000000e+00
 -7.23514352e-01  -3.56587654e-02   0.00000000e+00
 -1.07631472e-01  -2.96607022e-01   0.00000000e+00
TS 0  2.30100000e+00
 -9.90102757e-02   2.52012520e-02   0.00000000e+00
 -4.79189212e-01   1.30855354e-01   0.00000000e+00
 -5.55506364e-01   1.22701164e-02   0.00000000e+00
 -2.82395571e-03  -2.04401570e-01   0.00000000e+00
TS 0  2.35100000e+00
  4.44162086e-02   3.80230902e-02   0.00000000e+00
 -3.00790888e-01   1.33976322e-01   0.00000000e+00
 -3.43598773e-01   5.36024163e-02   0.00000000e+00
  9.61150378e-02  -1.01782682e-01   0.00000000e+00
TS 0  2.40100000e+00
  1.83922533e-01   3.12969478e-02   0.00000000e+00
 -8.91909440e-02   1.06386148e-01   0.00000000e+00
 -1.22681567e-01   7.73224011e-02   0.00000000e+00
  1.74556490e-01   2.03440264e-04   0.00000000e+00
TS 0  2.45100000e+00
  3.09244271e-01   2.69759713e-03   0.00000000e+00
  1.35649248e-01   5.25281007e-02   0.00000000e+00
