DATASET
OBJTYPE "mesh3d"
BEGVEC
ND 8
NC 6
NAME "Velocity"
TIMEUNITS SECONDS
 1.08595621e-01  5.16993213e-02  0.00000000e+00
TS 0  6.50000000e-01
-2.02384953e-01  1.31275996e-02  1.68463164e-01
-2.02384953e-01  1.31275996e-02  0.00000000e+00
 1.02085802e-01 -2.36310331e-01 -1.22565795e+00
-9.20039969e-03  1.83384103e-02 -2.11356371e-09
-3.66591195e-01  9.91642264e-02 -1.02807584e+00
-2.21782632e-01  4.53380075e-01  2.01463863e-09
-1.09546112e-01  2.73162716e-02  8.02840725e-01
-1.09546112e-01  2.73162716e-02  0.00000000e+00
TS 0  7.00000000e-01
-4.39010121e-01  1.63641650e-02  5.47812952e-02
-4.39010121e-01  1.63641650e-02  0.00000000e+00
 5.35893432e-02 -4.43705601e-01 -1.34207264e+00
-2.49028100e-01 -4.23342569e-02 -5.41480664e-09
-6.04728436e-01  2.27770204e-01 -1.67521673e+00
-1.09766719e-01  4.59176857e-01  9.24117663e-09
-3.23643699e-01  5.37773785e-03  6.02023543e-01
-3.23643699e-01  5.37773785e-03  0.00000000e+00
TS 0  7.50000000e-01
-6.37032672e-01  1.21949342e-02 -9.40615068e-02
-6.37032672e-01  1.21949342e-02  0.00000000e+00
-8.59968198e-03 -6.07578167e-01 -1.32098087e+00
-4.27561561e-01 -7.62138775e-02 -3.20497867e-09
-7.59411515e-01  3.15951291e-01 -2.04776191e+00
 6.04606069e-03  4.21317226e-01  7.74234901e-09
-5.28979742e-01 -1.38646008e-02  1.97277204e-01
-5.28979742e-01 -1.38646008e-02  0.00000000e+00
TS 0  8.00000000e-01
-7.91479312e-01  7.30302237e-03 -2.44933231e-01
-7.91479312e-01  7.30302237e-03  0.00000000e+00
-8.04876879e-02 -7.28707797e-01 -1.22154792e+00
-5.42818514e-01 -9.09526460e-02  1.32912065e-09
-8.29390208e-01  3.64432992e-01 -2.19482639e+00
 1.12244241e-01  3.59920023e-01 -7.65088243e-10
-7.20328731e-01 -3.00530708e-02 -2.59630448e-01
-7.20328731e-01 -3.00530708e-02  0.00000000e+00
TS 0  8.50000000e-01
-8.99986612e-01  9.38119491e-03 -3.67160907e-01
-8.99986612e-01  9.38119491e-03  0.00000000e+00
-1.52866210e-01 -8.11185835e-01 -1.11214768e+00
-6.05032395e-01 -9.81503303e-02  8.79670548e-10
-8.33977231e-01  3.81748792e-01 -2.18452852e+00
 1.98656070e-01  2.95084462e-01 -5.47088701e-10
